TableStart	RegardLevels
ColumnHeadingsStart	MinValue
RowHeadingsStart
TotalWar	100
ColdWar	300
Neutral	500
Friend	700
Allied	900
Unified	1000
TableEnd

TableStart	RelationshipMemoryWeights
ColumnHeadingsStart	Weight	MaxConcurrent
RowHeadingsStart
DeclaredWarOnUs	-30	5
DeclaredWarOnFriend	-10	5
HiredWarAlly	-20	5
AttackedUs	-10	5
AttackedFriend	-5	5
BombardedUs	-20	10
BombardedFriend	-10	5
BombardedNeutral	-2	5
BombardedEnemy	-1	5
InvadedUs	-30	5
InvadedFriend	-15	5
SpiedOnUs	-10	5
SabotagedUs	-20	5
GaveHelp	15	5
RefusedHelp	-10	5
AcceptedDemand	20	5
RejectedDemand	-10	5
AcceptedTreaty	30	5
RejectedTreaty	-15	5
AcceptedWarPact	20	5
RejectedWarPact	-20	5
AcceptedStopTrading	15	5
RejectedStopTrading	-5	5
StoppedTrading	-30	5
HiredTradeEmbargo	-20	5
MadeDemand	-20	5
CancelledOpenBorders	-20	5
TradedTechToUs	20	5
ReceivedTechFromAny	0	0
GaveGift	20	5
TableEnd
